#### DATA MINER
Timestamp: 1558426773654
Algorithm: pol1
Max index for prime numbers picking: 2000
Iterations limit: 10000
User: chl2598a
Available cores: 6
Memory available to JVM: 126877696 bytes

"","n","p","q","success","x0","x","nbReboot","i","time (µs)"
"","230955349","13477","17137","true","90029817","126171750","15","165","989400"
"","2252563","563","4001","true","710784","2202171","61","10","7107"
"","23468131","1877","12503","true","12688802","17514569","65","17","1975495"
"","48107531","9431","5101","true","8357743","12882330","3","133","1996"
"","89775143","7829","11467","true","73534380","35219254","14","20","85563"
"","11811061","8941","1321","true","8579667","11314137","48","6","426454"
"","1758079","3847","457","true","1307344","189065","6","1","264689"
"","51826757","11393","4549","true","14992978","41618275","11","137","7572129"
"","30211787","6871","4397","true","18962855","11569659","85","5","83276"
"","109900547","6353","17299","true","44435217","83582854","22","214","3272057"
"","8783711","4943","1777","true","1537355","5842708","2","90","9403"
"","23454617","11503","2039","true","7900096","19679168","46","54","250426"
"","54780611","4421","12391","true","390660","14937694","13","79","9824"
"","9105307","13177","691","true","1981999","2121581","1","40","129910"
"","18197","31","587","true","273","14948","4","16","279"
"","111566153","10667","10459","true","78816011","51036907","2","91","217028"
"","3770981","2953","1277","true","3246231","3389255","3","30","13358"
"","14728289","983","14983","true","1881745","6846878","30","42","31599"
"","120534497","9199","13103","true","114048787","28355167","43","20","536913"
"","420023","6269","67","true","50307","303165","3","3","586"
"","17256521","1847","9343","true","5076242","3982818","71","59","34764"
"","119374993","10771","11083","true","97395456","89836850","28","40","517166"
"","4767677","1303","3659","true","4295989","4032541","7","68","11635"
"","46000027","4733","9719","true","41252158","25983609","27","44","34314"
"","71986997","13873","5189","true","39779211","8412358","7","37","17195"
"","958201","1553","617","true","401356","638965","34","67","15319"
"","36072527","9043","3989","true","31145111","20546715","18","38","1883766"
"","15416519","5189","2971","true","490937","10232846","1","102","3366"
"","59245541","16703","3547","true","25569858","9285581","25","40","294409"
"","20776793","13327","1559","true","7763025","13840137","16","19","147062"
"","25526447","5407","4721","true","14241345","23514350","20","37","119482"
"","8653097","3709","2333","true","8507639","8612624","18","27","41262"
"","1318111","1291","1021","true","658954","103824","4","28","8908"
"","38190083","2663","14341","true","13987094","3566775","97","4","32718"
"","140933339","15661","8999","true","55467147","28614131","4","106","1609925"
"","181365167","11393","15919","true","64773278","67511346","15","133","16578644"
