#### DATA MINER - 1557737812864
#### Pollard 3 
"n","p","q","success","bInit","b","i","time (µs)"
"597869816627511803","890309759","671530117","true","3","62189727649689334","34242683","147062394"
"451144520986139179","732966959","615504581","true","3","398530359086579411","953","3403"
"324465207885619477","572191523","567056999","true","3","118461890159902379","5838689","24006084"
"450295145702956321","799275431","563379191","true","3","316050145316733955","18899","71667"
"362704926897986177","519681451","697937027","true","3","132679265306238135","619","2715"
"126783646412013361","703936927","180106543","true","3","15193492052429852","653","2264"
"86046228088960819","128059133","671925743","true","3","18731119998635167","17203","64243"
"321790106925096331","365322143","880839317","true","3","192197335010478785","613","2237"
"599066156493105281","694362041","862757641","true","3","165367347048908283","2161","8534"
"229466059384756351","906712189","253074859","true","3","137753172346833403","9341","35806"
"31128151527183197","147084001","211635197","true","3","10832030229193198","103","366"
"112119047536465703","538765093","208103771","true","3","73545206200364569","6803","25891"
"79901067738663949","447629621","178498169","true","3","10200981298451449","170851","644933"
"87207218895655211","108886543","800899877","true","3","55830804108458685","118687","442789"
"81676507439182429","150562927","542474227","true","3","60246163939474538","141773","536321"
"156456249453173741","312796801","500184941","true","3","46218425532955427","10861","40129"
"127895624801917117","257394623","496885379","true","3","3615624843227231","132541","502474"
"255513859637937377","488641589","522906493","true","3","38189973726021721","431441","1698274"
"276286019584595983","681516019","405399157","true","3","62791015041750888","27851","107421"
"273697501037182919","332382937","823440287","true","3","224319212428142262","602143","2383664"
"388081468391322403","847733819","457786937","true","3","118659748346784875","57223367","245264058"
"303499996794644423","788543227","384886949","true","3","265068461455440414","66041","257772"
"938979809743345243","950652887","987720989","true","3","385464843326125036","964151","3979493"
"258946360767391181","566767759","456882659","true","3","223901800994897892","4483","16459"
"97509444157519333","292447733","333425201","true","3","50548344236811955","322079","1230380"
"377762569453829281","479254739","788229179","true","3","201754476967871283","857","3365"
